Manufactor,Year,Model,Hand,Gear,capacity_Engine,Engine_type,Prev_ownership,Curr_ownership,Area,City,Price,Pic_num,Cre_date,Repub_date,Description,Color,Km,Test
מרצדס,2010, E-Class קופה / קבריולט,3,אוטומטית,3500,בנזין,פרטית,פרטית,nan,סח'נין,85000.0,4,2022-12-17,2023-02-19,"e350coupe
רכב עם 130000 ק״מ
מנוע 3500 כ״ס 306",שחור,130000,
מרצדס,2019, S-Class,1,אוטומטית,3000,היבריד,פרטית,פרטית,חיפה וחוף הכרמל,אום אל פחם,560000.0,4,2023-01-23,2023-01-23,רכש שמור מאוד. כחדש!!,לבן,71000,
מרצדס,2021, GLA,2,אוטומטית,1332,בנזין,,,nan,עין קנייא,,1,2022-10-31,2022-10-31,"מרצדס A250e , עליה לכביש 10/22, שמור כחדש, טיפולים בחברה, מנוע בנזין וחשמל, חיסכוני במיוחד, למכירה עקב קבלת רכב מעבודה &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; חישוקי מגניזיום, 7 כריות אויר , מאובזר ומפנק",nan,22000,
מרצדס,2007, C-CLASS,2,אוטומטית,2500,בנזין,,,גליל ועמקים,נצרת,,1,2022-10-29,2022-10-29,רכב מקורי לחלוטין &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; גימור amg,nan,,
מרצדס,2009, 600,2,אוטומטית,646,דיזל,,,פתח תקוה והסביבה,פתח תקווה,30000.0,1,2022-10-26,2022-10-26,רכב שמור מטופל בחברה בלבד,nan,360000,
מרצדס,2016, 500,2,אוטומטית,3000,בנזין,,,חיפה וחוף הכרמל,חיפה,350000.0,1,2022-10-20,2022-10-20,רכב שמור בקנאות כחדש,nan,180000,
מרצדס,2008, 350,6,אוטומטית,3500,בנזין,,,גליל ועמקים,נצרת,63000.0,1,2022-10-19,2022-10-19,"יבואי אישי..רכב מפואר מאד …גג פוראמי , כיסאות עור חשמליים עם זיכרון במושבים עם מיזוג , סקאלה דיגיטלית מולטימדיה מקורית, מזגן מפוצל ועוד המון. וחצאיות חלונות שחורים בכל האוטו. רכב שמור בלי תאונות ..",nan,330000,
מרצדס,2014, C-Class קופה,4,אוטומטית,1600,בנזין,פרטית,פרטית,כרמיאל והסביבה,כרמיאל,120000.0,5,2022-10-16,2022-10-16,"רכב שמור ממש יפה ומושקע גג נפתח כל הגג זכוכית מסך מולטימדיה איכותי ברמה גבוה 
רכב חסכוני 1600 דבל טורבו
עשה 90000 ק""מ 
סיבת מכירה : קבלת רכב מהעבודה 
טלפון :0546103331",לבן,90000,
מרצדס,2016, E- CLASS,1,אוטומטית,2000,בנזין,,,nan,טמרה,190000.0,1,2022-10-16,2022-10-16,"רכב נדיר , צבע מקורי ,ללא תאונות , דגם מפואר , מטופלת בזמן , בולמים גז &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; גנט amg 18 שחור 
גריל בראבוס , הגריל המקורי שמור
צנרת עם שלט 
השחרת ניקלים
וו גרירה",nan,130000,
מרצדס,1991, SL,1,אוטומטית,5000,בנזין,אחר,אחר,רעננה - כפר סבא,כפר סבא,111000.0,12,2022-06-30,2022-10-13,"***קלאסיקה*** במצב נדיר***
68.100 מייל מקורי***יד שניה**ללא תאונות או תיקוני צבע, ***מטופלת ושמורה***
מגיע עם גג קשיח ורך,
פנים והחוץ של הרכב ניראה כמעט חדש, 
מנוע: כ""ס 5.0L 8-Cylinder Gas***322 
גיר: 4-Speed Automatic 
אנו פועלים עם 
רישיון יבואן מקביל , וכן רישיון תיווך יבוא אישי מטעם משרד התחבורה, כ""כ חתימת הסכם 
""כולל בדיקה מקיפה, מכנית, וויזואלית ע""י חברה חיצונית מתמחה, וקבלת דו""ח מפורט ותמונות מצורפות.""
בבקשה רק רציניים לפנות, הרכב ביבוא אישי לא נמצא בארץ.
זמני אספקה מהירים במיוחד ~~ ליווי צמוד ויחס אישי,
סלקט מוטורס SelectMotors.org יבוא אישי רכבי יוקרה אופנועים ואספנות 
050-5829568",שחור,68100,
